"id";"age";"job";"marital";"education";"default_status";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"outcome";"target"
"44524";"30";"admin.";"married";"secondary";"no";"590.00";"no";"no";"cellular";"11";"aug";"443";"3";"-1";"0";"unknown";"no"
"44525";"35";"admin.";"married";"secondary";"no";"2374.00";"yes";"no";"cellular";"11";"aug";"765";"2";"183";"5";"success";"yes"
"44526";"35";"technician";"single";"secondary";"no";"920.00";"yes";"no";"cellular";"11";"aug";"159";"2";"286";"6";"failure";"no"
"44527";"35";"technician";"married";"tertiary";"no";"7050.00";"no";"no";"cellular";"11";"aug";"222";"3";"182";"4";"success";"yes"
"44528";"43";"blue-collar";"married";"secondary";"no";"413.00";"yes";"no";"cellular";"12";"aug";"235";"2";"182";"4";"success";"yes"
"44529";"34";"technician";"single";"secondary";"no";"1313.00";"no";"no";"cellular";"12";"aug";"176";"1";"21";"6";"failure";"no"
"44530";"77";"Ret";"married";"primary";"no";"2590.00";"no";"no";"telephone";"12";"aug";"345";"1";"178";"20";"failure";"yes"
"44531";"34";"blue-collar";"married";"secondary";"no";"320.00";"yes";"no";"cellular";"12";"aug";"352";"1";"828";"2";"failure";"yes"
"44532";"35";"blue-collar";"married";"secondary";"no";"1454.00";"yes";"no";"cellular";"12";"aug";"323";"1";"182";"4";"success";"yes"
"44533";"39";"blue-collar";"married";"secondary";"no";"1382.00";"yes";"no";"cellular";"12";"aug";"357";"1";"182";"2";"success";"yes"
"44534";"32";"student";"single";NULL;"no";"376.00";"no";"no";"cellular";"12";"aug";"192";"1";"91";"5";"failure";"no"
"44535";"75";"Ret";"married";"secondary";"no";"291.00";"no";"no";"cellular";"12";"aug";"350";"1";"182";"2";"success";"yes"
"44536";"29";"management";"single";"tertiary";"no";"266.00";"no";"no";"cellular";"12";"aug";"176";"1";"185";"1";"failure";"no"
"44537";"35";"self-employed";"married";"tertiary";"no";"2427.00";"no";"no";"cellular";"12";"aug";"175";"3";"31";"10";"success";"yes"
"44538";"41";"admin.";"married";"secondary";"no";"2498.00";"no";"no";"cellular";"12";"aug";"411";"1";"-1";"0";"unknown";"yes"
"44539";"25";"student";"single";NULL;"no";"1003.00";"no";"no";"cellular";"12";"aug";"361";"1";"-1";"0";"unknown";"yes"
"44540";"51";"blue-collar";"married";"secondary";"no";"2007.00";"yes";"no";"cellular";"12";"aug";"1226";"3";"-1";"0";"unknown";"yes"
"44541";"48";"unemployed";"married";"secondary";"no";"926.00";"no";"no";"cellular";"12";"aug";"504";"2";"178";"10";"success";"yes"
"44542";"28";"management";"single";"tertiary";"no";"-62.00";"no";"no";NULL;"12";"aug";"17";"1";"-1";"0";"unknown";"no"
"44543";"26";"unemployed";"single";"secondary";"no";"632.00";"no";"no";"cellular";"12";"aug";"312";"3";"181";"1";"success";"yes"
"44544";"27";"self-employed";"single";"tertiary";"no";"4574.00";"no";"no";"cellular";"12";"aug";"187";"2";"-1";"0";"unknown";"no"
"44545";"55";"???";"married";"secondary";"no";"2206.00";"no";"no";"cellular";"12";"aug";"265";"1";"91";"5";"success";"yes"
"44546";"27";"student";"single";NULL;"no";"598.00";"no";"no";"cellular";"12";"aug";"126";"1";"524";"1";"failure";"no"
"44547";"44";"technician";"divorced";"secondary";"no";"314.00";"yes";"no";NULL;"12";"aug";"18";"1";"651";"1";"success";"no"
