high_csat,wait_minutes,order_to_issue_minutes,connected_handling_time,log_item_price,channel_name,category,Sub-category,Product_category,Agent Shift,Tenure Bucket,Customer_City
1,34.0,12614.5,427.0,6.597145701886651,Outcall,Product Queries,Other,Unknown,Morning,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Product Queries,Product Specific Information,Unknown,Morning,>90,Unknown
1,22.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Installation/demo,Unknown,Evening,On Job Training,Unknown
1,20.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Cancellation,Not Needed,Unknown,Morning,0-30,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Email,Returns,Fraudulent User,Unknown,Morning,0-30,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Outcall,Product Queries,Product Specific Information,Unknown,Morning,>90,Unknown
1,6.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Exchange / Replacement,Unknown,Evening,On Job Training,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Missing,Unknown,Split,>90,Unknown
1,5.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Evening,31-60,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Return request,Unknown,Evening,0-30,Unknown
0,30.0,19374.0,427.0,6.075346031088684,Inbound,Order Related,Delayed,LifeStyle,Split,>90,Other
1,3.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Morning,On Job Training,Unknown
1,66.0,12614.5,427.0,6.597145701886651,Inbound,Shopzilla Related,General Enquiry,Unknown,Morning,>90,Unknown
1,18.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,0-30,Unknown
1,10.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Missing,Unknown,Afternoon,>90,Unknown
1,2.0,12614.5,427.0,7.170119543449628,Inbound,Returns,Service Centres Related,Electronics,Morning,0-30,Other
0,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Installation/demo,Unknown,Morning,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Cancellation,Not Needed,Unknown,Evening,31-60,Unknown
1,2.0,22063.0,427.0,6.597145701886651,Inbound,Order Related,Installation/demo,Electronics,Evening,31-60,Other
1,28.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,>90,Unknown
1,15.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Evening,61-90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Return request,Unknown,Afternoon,0-30,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Payments related,Other,Unknown,Afternoon,>90,Unknown
1,2.0,24128.0,427.0,7.003065458786462,Inbound,Returns,Reverse Pickup Enquiry,Electronics,Morning,31-60,Other
0,3.0,5612.0,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Mobile,Morning,On Job Training,Other
1,3.0,6096.0,427.0,8.070906088787819,Inbound,Order Related,Delayed,Home Appliences,Morning,31-60,Other
1,1.0,11957.0,427.0,6.499787040655854,Inbound,Returns,Fraudulent User,LifeStyle,Evening,31-60,Other
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Cancellation,Other,Unknown,Evening,>90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Evening,>90,Unknown
0,52.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Other,Unknown,Evening,On Job Training,Unknown
0,4.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Outcall,Order Related,Installation/demo,Unknown,Morning,0-30,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Afternoon,>90,Unknown
1,3.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Exchange / Replacement,Unknown,Morning,>90,Unknown
0,11.0,18763.0,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Other,Evening,0-30,Other
1,0.0,12614.5,427.0,6.597145701886651,Outcall,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Installation/demo,Unknown,Morning,>90,Unknown
1,6.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Seller Cancelled Order,Unknown,Morning,>90,Unknown
0,74.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Split,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Wrong,Unknown,Split,>90,Unknown
1,4.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Split,>90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Morning,>90,Unknown
1,7.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Return request,Unknown,Morning,>90,Unknown
1,2.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Service Centres Related,Unknown,Evening,61-90,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Order Related,Order status enquiry,Unknown,Evening,On Job Training,Unknown
1,1.0,12614.5,427.0,6.597145701886651,Inbound,Product Queries,Product Specific Information,Unknown,Afternoon,61-90,Unknown
1,6.0,10501.0,427.0,6.551080335043404,Inbound,Returns,Reverse Pickup Enquiry,Electronics,Evening,31-60,Other
0,106.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Service Centres Related,Unknown,Morning,>90,Unknown
1,81.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Reverse Pickup Enquiry,Unknown,Morning,>90,Unknown
1,0.0,12614.5,427.0,6.597145701886651,Inbound,Returns,Fraudulent User,Unknown,Evening,On Job Training,Unknown
