@relation 'Telco_Cusomer_Churn-weka.filters.unsupervised.attribute.Remove-R1-2,7-8-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-8,10-11,13,15-16'

@attribute tenure numeric
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute Churn {No,Yes}

@data
1,No,No,Month-to-month,'Electronic check',No
34,Yes,No,'One year','Mailed check',No
2,Yes,No,Month-to-month,'Mailed check',Yes
45,Yes,Yes,'One year','Bank transfer (automatic)',No
2,No,No,Month-to-month,'Electronic check',Yes
8,No,No,Month-to-month,'Electronic check',Yes
22,No,No,Month-to-month,'Credit card (automatic)',No
10,Yes,No,Month-to-month,'Mailed check',No
28,No,Yes,Month-to-month,'Electronic check',Yes
62,Yes,No,'One year','Bank transfer (automatic)',No
13,Yes,No,Month-to-month,'Mailed check',No
16,'No internet service','No internet service','Two year','Credit card (automatic)',No
58,No,No,'One year','Credit card (automatic)',No
49,No,No,Month-to-month,'Bank transfer (automatic)',Yes
25,Yes,Yes,Month-to-month,'Electronic check',No
69,Yes,Yes,'Two year','Credit card (automatic)',No
52,'No internet service','No internet service','One year','Mailed check',No
71,Yes,No,'Two year','Bank transfer (automatic)',No
10,No,Yes,Month-to-month,'Credit card (automatic)',Yes
21,No,No,Month-to-month,'Electronic check',No
1,No,No,Month-to-month,'Electronic check',Yes
12,'No internet service','No internet service','One year','Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
58,No,Yes,'Two year','Credit card (automatic)',No
49,Yes,Yes,Month-to-month,'Credit card (automatic)',No
30,Yes,No,Month-to-month,'Bank transfer (automatic)',No
47,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
17,No,No,Month-to-month,'Mailed check',Yes
71,Yes,Yes,'Two year','Credit card (automatic)',No
2,No,No,Month-to-month,'Credit card (automatic)',No
27,Yes,Yes,'One year','Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
1,No,No,Month-to-month,'Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
5,No,No,Month-to-month,'Electronic check',Yes
46,No,No,Month-to-month,'Credit card (automatic)',No
34,No,No,Month-to-month,'Electronic check',Yes
11,No,No,Month-to-month,'Bank transfer (automatic)',Yes
10,No,No,'One year','Mailed check',No
70,Yes,No,'Two year','Credit card (automatic)',No
17,'No internet service','No internet service','One year','Mailed check',No
63,Yes,Yes,'Two year','Credit card (automatic)',No
13,Yes,Yes,Month-to-month,'Electronic check',No
49,No,No,Month-to-month,'Electronic check',No
2,No,No,Month-to-month,'Mailed check',No
2,No,No,Month-to-month,'Electronic check',Yes
52,Yes,Yes,'Two year','Credit card (automatic)',No
69,Yes,Yes,'Two year','Credit card (automatic)',No
43,No,No,Month-to-month,'Electronic check',No
15,Yes,No,Month-to-month,'Credit card (automatic)',Yes
25,Yes,Yes,Month-to-month,'Credit card (automatic)',No
8,No,No,Month-to-month,'Credit card (automatic)',Yes
60,Yes,Yes,'One year','Credit card (automatic)',No
18,No,No,Month-to-month,'Electronic check',Yes
63,Yes,No,'One year','Credit card (automatic)',No
66,No,Yes,'One year','Electronic check',No
34,'No internet service','No internet service','Two year','Credit card (automatic)',No
72,No,Yes,'Two year','Credit card (automatic)',No
47,No,No,Month-to-month,'Electronic check',No
60,No,No,Month-to-month,'Bank transfer (automatic)',No
72,Yes,No,'Two year','Bank transfer (automatic)',No
18,No,Yes,'One year','Credit card (automatic)',No
9,No,No,Month-to-month,'Electronic check',Yes
3,No,Yes,Month-to-month,'Electronic check',No
47,No,No,'One year','Electronic check',No
31,No,Yes,'Two year','Mailed check',No
50,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
10,Yes,No,Month-to-month,'Mailed check',No
1,No,Yes,Month-to-month,'Mailed check',No
52,'No internet service','No internet service','One year','Electronic check',No
64,Yes,Yes,'Two year','Bank transfer (automatic)',No
62,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
3,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
56,Yes,No,'One year','Electronic check',No
46,No,No,'One year','Credit card (automatic)',No
8,Yes,No,Month-to-month,'Mailed check',No
30,Yes,No,Month-to-month,'Electronic check',No
45,'No internet service','No internet service','One year','Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
11,Yes,No,Month-to-month,'Electronic check',No
7,No,No,Month-to-month,'Bank transfer (automatic)',Yes
42,No,Yes,Month-to-month,'Bank transfer (automatic)',No
49,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
9,No,No,Month-to-month,'Credit card (automatic)',No
35,Yes,No,'One year','Bank transfer (automatic)',No
48,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
46,'No internet service','No internet service','Two year','Mailed check',No
29,No,No,Month-to-month,'Mailed check',No
30,No,No,Month-to-month,'Bank transfer (automatic)',No
1,No,Yes,Month-to-month,'Electronic check',No
66,Yes,Yes,'Two year','Mailed check',No
65,Yes,No,Month-to-month,'Credit card (automatic)',No
72,No,No,'Two year','Bank transfer (automatic)',No
12,Yes,No,Month-to-month,'Electronic check',Yes
71,Yes,Yes,'One year','Credit card (automatic)',No
5,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
52,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
25,No,No,Month-to-month,'Electronic check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Electronic check',No
38,No,Yes,'One year','Bank transfer (automatic)',No
66,No,No,'One year','Bank transfer (automatic)',No
68,No,Yes,'Two year','Bank transfer (automatic)',Yes
5,No,No,Month-to-month,'Mailed check',No
72,Yes,No,'One year','Electronic check',No
32,Yes,No,'One year','Mailed check',No
43,No,No,'One year','Mailed check',No
72,'No internet service','No internet service','Two year','Credit card (automatic)',No
55,Yes,No,Month-to-month,'Electronic check',Yes
52,Yes,Yes,'One year','Credit card (automatic)',No
43,No,No,Month-to-month,'Electronic check',No
37,No,No,Month-to-month,'Electronic check',Yes
64,No,Yes,'Two year','Electronic check',No
3,Yes,No,Month-to-month,'Electronic check',No
36,Yes,No,'Two year','Bank transfer (automatic)',No
10,Yes,No,Month-to-month,'Electronic check',Yes
41,'No internet service','No internet service','Two year','Mailed check',No
27,No,Yes,Month-to-month,'Credit card (automatic)',No
56,No,No,'One year','Credit card (automatic)',No
6,'No internet service','No internet service',Month-to-month,'Mailed check',No
3,No,No,Month-to-month,'Electronic check',Yes
7,Yes,No,Month-to-month,'Mailed check',No
4,'No internet service','No internet service',Month-to-month,'Mailed check',No
33,Yes,Yes,'Two year','Electronic check',No
27,No,No,Month-to-month,'Electronic check',Yes
72,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
71,Yes,No,'One year','Electronic check',No
13,No,No,Month-to-month,'Electronic check',No
25,Yes,No,Month-to-month,'Credit card (automatic)',Yes
67,No,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
2,No,No,Month-to-month,'Electronic check',Yes
43,'No internet service','No internet service','Two year','Credit card (automatic)',No
23,Yes,No,Month-to-month,'Bank transfer (automatic)',No
64,'No internet service','No internet service','Two year','Mailed check',No
57,'No internet service','No internet service','Two year','Mailed check',No
1,No,No,Month-to-month,'Mailed check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
8,Yes,Yes,Month-to-month,'Electronic check',Yes
61,No,No,'Two year','Bank transfer (automatic)',No
64,Yes,No,'One year','Credit card (automatic)',No
71,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
65,Yes,Yes,'Two year','Credit card (automatic)',No
3,'No internet service','No internet service','One year','Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
30,No,No,'One year','Credit card (automatic)',No
15,No,Yes,Month-to-month,'Mailed check',No
8,No,Yes,Month-to-month,'Electronic check',No
7,No,No,Month-to-month,'Mailed check',Yes
70,Yes,No,'One year','Credit card (automatic)',No
62,Yes,Yes,'Two year','Electronic check',No
6,'No internet service','No internet service',Month-to-month,'Mailed check',No
14,No,No,Month-to-month,'Bank transfer (automatic)',No
22,No,No,Month-to-month,'Bank transfer (automatic)',No
22,'No internet service','No internet service','One year','Mailed check',No
16,Yes,No,'Two year','Mailed check',No
10,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
13,Yes,No,Month-to-month,'Electronic check',No
20,Yes,No,Month-to-month,'Electronic check',Yes
2,No,No,Month-to-month,'Electronic check',No
53,No,Yes,'Two year','Bank transfer (automatic)',No
11,'No internet service','No internet service','One year','Mailed check',No
69,'No internet service','No internet service','Two year','Mailed check',No
4,No,No,Month-to-month,'Bank transfer (automatic)',Yes
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
58,No,No,Month-to-month,'Electronic check',Yes
16,'No internet service','No internet service',Month-to-month,'Electronic check',No
43,Yes,Yes,'One year','Bank transfer (automatic)',No
2,No,Yes,Month-to-month,'Electronic check',Yes
14,No,Yes,'Two year','Mailed check',No
53,No,No,'One year','Bank transfer (automatic)',Yes
32,'No internet service','No internet service','One year','Bank transfer (automatic)',No
34,'No internet service','No internet service',Month-to-month,'Electronic check',No
15,No,No,Month-to-month,'Mailed check',Yes
7,Yes,No,Month-to-month,'Bank transfer (automatic)',Yes
15,No,No,Month-to-month,'Bank transfer (automatic)',No
61,'No internet service','No internet service','One year','Credit card (automatic)',No
1,No,No,Month-to-month,'Bank transfer (automatic)',Yes
1,No,No,Month-to-month,'Mailed check',No
8,No,No,Month-to-month,'Bank transfer (automatic)',Yes
33,Yes,No,'One year','Credit card (automatic)',No
13,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
20,No,No,Month-to-month,'Mailed check',No
3,No,Yes,Month-to-month,'Electronic check',No
13,'No internet service','No internet service','One year','Electronic check',No
40,No,No,Month-to-month,'Credit card (automatic)',No
43,Yes,Yes,'One year','Credit card (automatic)',No
6,No,No,Month-to-month,'Electronic check',Yes
69,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
72,Yes,No,'Two year','Credit card (automatic)',No
59,'No internet service','No internet service','Two year','Credit card (automatic)',No
20,Yes,Yes,Month-to-month,'Electronic check',No
24,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
59,No,Yes,Month-to-month,'Electronic check',No
72,No,Yes,'Two year','Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
27,Yes,Yes,'One year','Credit card (automatic)',No
14,No,Yes,Month-to-month,'Credit card (automatic)',No
71,Yes,No,'Two year','Electronic check',No
13,No,No,Month-to-month,'Credit card (automatic)',No
44,No,No,Month-to-month,'Credit card (automatic)',No
33,No,Yes,'One year','Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
19,Yes,Yes,Month-to-month,'Electronic check',Yes
64,No,Yes,'One year','Credit card (automatic)',No
2,No,No,Month-to-month,'Credit card (automatic)',Yes
1,No,No,Month-to-month,'Electronic check',No
61,'No internet service','No internet service','Two year','Mailed check',No
29,'No internet service','No internet service','One year','Electronic check',No
23,No,No,Month-to-month,'Electronic check',No
57,Yes,No,Month-to-month,'Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
66,Yes,Yes,'Two year','Bank transfer (automatic)',No
65,No,Yes,'Two year','Bank transfer (automatic)',No
8,No,No,Month-to-month,'Bank transfer (automatic)',No
4,No,No,Month-to-month,'Electronic check',Yes
71,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
1,'No internet service','No internet service','One year','Electronic check',No
4,No,Yes,Month-to-month,'Mailed check',Yes
12,'No internet service','No internet service','One year','Bank transfer (automatic)',No
24,Yes,No,'One year','Mailed check',No
31,Yes,Yes,'One year','Mailed check',No
1,No,No,Month-to-month,'Mailed check',Yes
30,No,Yes,Month-to-month,'Credit card (automatic)',No
47,Yes,Yes,'Two year','Credit card (automatic)',No
54,Yes,Yes,'Two year','Credit card (automatic)',No
50,Yes,Yes,Month-to-month,'Credit card (automatic)',No
1,Yes,No,Month-to-month,'Mailed check',Yes
72,'No internet service','No internet service','Two year','Credit card (automatic)',No
29,'No internet service','No internet service',Month-to-month,'Electronic check',No
2,No,No,Month-to-month,'Mailed check',Yes
10,No,Yes,'Two year','Mailed check',No
18,No,No,Month-to-month,'Electronic check',No
11,No,No,Month-to-month,'Electronic check',Yes
16,'No internet service','No internet service','Two year','Mailed check',No
72,No,Yes,'Two year','Bank transfer (automatic)',No
72,No,Yes,'Two year','Bank transfer (automatic)',No
41,Yes,Yes,'One year','Credit card (automatic)',No
65,Yes,No,Month-to-month,'Electronic check',No
13,No,No,Month-to-month,'Electronic check',No
4,Yes,No,Month-to-month,'Electronic check',No
41,No,No,'One year','Mailed check',No
15,No,No,Month-to-month,'Electronic check',Yes
1,Yes,No,Month-to-month,'Mailed check',Yes
42,Yes,No,'One year','Electronic check',No
51,Yes,No,'One year','Electronic check',No
2,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
32,No,Yes,'One year','Credit card (automatic)',No
10,'No internet service','No internet service',Month-to-month,'Mailed check',No
67,No,Yes,'Two year','Electronic check',No
61,Yes,Yes,'Two year','Credit card (automatic)',No
50,Yes,Yes,'One year','Credit card (automatic)',No
2,No,No,Month-to-month,'Credit card (automatic)',Yes
29,Yes,No,Month-to-month,'Electronic check',No
3,No,No,Month-to-month,'Electronic check',Yes
13,No,No,Month-to-month,'Electronic check',Yes
57,No,No,Month-to-month,'Electronic check',No
31,Yes,Yes,'Two year','Bank transfer (automatic)',No
45,Yes,Yes,'One year','Mailed check',No
61,Yes,Yes,'Two year','Mailed check',No
50,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
19,Yes,Yes,Month-to-month,'Mailed check',No
59,'No internet service','No internet service','Two year','Mailed check',Yes
71,'No internet service','No internet service','Two year','Credit card (automatic)',No
16,No,Yes,Month-to-month,'Electronic check',Yes
57,Yes,Yes,'Two year','Electronic check',No
1,No,No,Month-to-month,'Bank transfer (automatic)',Yes
20,No,Yes,Month-to-month,'Electronic check',No
1,No,No,Month-to-month,'Mailed check',Yes
5,No,Yes,Month-to-month,'Electronic check',Yes
52,No,No,Month-to-month,'Electronic check',Yes
21,Yes,No,Month-to-month,'Bank transfer (automatic)',No
14,No,Yes,Month-to-month,'Electronic check',No
5,No,No,Month-to-month,'Bank transfer (automatic)',No
6,Yes,No,Month-to-month,'Mailed check',No
10,No,No,Month-to-month,'Electronic check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
68,Yes,No,Month-to-month,'Mailed check',No
18,No,No,Month-to-month,'Mailed check',Yes
22,No,No,'One year','Credit card (automatic)',No
20,No,No,Month-to-month,'Electronic check',No
1,No,No,Month-to-month,'Electronic check',Yes
8,No,No,Month-to-month,'Electronic check',Yes
10,No,No,Month-to-month,'Credit card (automatic)',Yes
24,No,No,Month-to-month,'Electronic check',Yes
35,Yes,No,'One year','Mailed check',No
23,No,Yes,'One year','Mailed check',No
6,No,No,Month-to-month,'Electronic check',No
12,'No internet service','No internet service',Month-to-month,'Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
71,No,No,'Two year','Electronic check',No
35,No,No,Month-to-month,'Electronic check',No
40,No,No,Month-to-month,'Electronic check',No
1,Yes,No,Month-to-month,'Mailed check',Yes
23,No,No,'One year','Bank transfer (automatic)',No
4,No,No,Month-to-month,'Electronic check',Yes
4,No,Yes,Month-to-month,'Electronic check',No
68,No,Yes,'Two year','Credit card (automatic)',No
38,No,No,Month-to-month,'Mailed check',No
52,'No internet service','No internet service','Two year','Mailed check',No
32,No,No,Month-to-month,'Electronic check',Yes
29,No,Yes,'Two year','Mailed check',No
38,No,No,Month-to-month,'Electronic check',No
48,Yes,No,'One year','Credit card (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
22,Yes,Yes,Month-to-month,'Electronic check',No
43,Yes,Yes,'Two year','Credit card (automatic)',No
5,No,No,Month-to-month,'Electronic check',No
5,No,No,Month-to-month,'Electronic check',Yes
51,Yes,Yes,'One year','Credit card (automatic)',No
