iter	MultiClass
0	1.098170663
1	1.097684649
2	1.097313746
3	1.096888918
4	1.096444418
5	1.096092311
6	1.09561431
7	1.09525913
8	1.094913393
9	1.094478747
10	1.094177061
11	1.093660424
12	1.09346754
13	1.093042456
14	1.092721546
15	1.092429787
16	1.092040398
17	1.09171312
18	1.091352042
19	1.091075132
20	1.090669841
21	1.090340852
22	1.090065799
23	1.089669236
24	1.089231082
25	1.088918528
26	1.088550025
27	1.088259569
28	1.088059073
29	1.087700307
30	1.087433161
31	1.087086319
32	1.086818378
33	1.086326116
34	1.085865558
35	1.085497917
36	1.085146437
37	1.084543555
38	1.084282034
39	1.08395599
40	1.083601632
41	1.083293257
42	1.083014743
43	1.082723142
44	1.082403262
45	1.082135472
46	1.08193084
47	1.081470322
48	1.081160496
49	1.080667271
50	1.080236904
51	1.079942914
52	1.079469583
53	1.07913784
54	1.078753995
55	1.078381595
56	1.078029736
57	1.077742049
58	1.077396098
59	1.077073465
60	1.076808624
61	1.076454614
62	1.076238353
63	1.075919968
64	1.075694866
65	1.075432671
66	1.075123822
67	1.07469911
68	1.074289124
69	1.074112537
70	1.073859957
71	1.073652823
72	1.073316368
73	1.072934702
74	1.072448053
75	1.072143994
76	1.07179102
77	1.071518782
78	1.071204571
79	1.070964668
80	1.070565403
81	1.070210251
82	1.069826516
83	1.069420672
84	1.069020932
85	1.068691518
86	1.068378448
87	1.067984526
88	1.067503129
89	1.067092795
90	1.066911451
91	1.066685665
92	1.06644701
93	1.066160804
94	1.065791092
95	1.065470235
96	1.065218519
97	1.064883321
98	1.064588696
99	1.064292297
