iter	Passed	Remaining
0	136	13520
1	150	7398
2	161	5226
3	171	4115
4	181	3456
5	191	3003
6	201	2678
7	212	2440
8	221	2236
9	231	2082
10	241	1954
11	251	1846
12	263	1763
13	273	1681
14	285	1619
15	296	1555
16	307	1503
17	318	1448
18	328	1399
19	338	1355
20	350	1317
21	360	1278
22	370	1238
23	379	1202
24	390	1171
25	402	1144
26	413	1117
27	423	1088
28	433	1060
29	443	1034
30	454	1010
31	464	986
32	475	966
33	486	944
34	498	925
35	509	905
36	520	886
37	533	869
38	548	857
39	564	847
40	577	831
41	588	812
42	598	793
43	610	777
44	623	762
45	634	745
46	645	727
47	655	710
48	665	693
49	679	679
50	690	663
51	701	647
52	712	631
53	723	616
54	734	600
55	744	585
56	754	568
57	763	552
58	774	537
59	786	524
60	797	510
61	809	496
62	821	482
63	833	468
64	844	454
65	854	440
66	864	426
67	875	412
68	885	397
69	895	383
70	905	369
71	919	357
72	932	344
73	946	332
74	963	321
75	974	307
76	984	294
77	993	280
78	1003	266
79	1013	253
80	1024	240
81	1034	227
82	1044	213
83	1054	200
84	1064	187
85	1074	174
86	1084	162
87	1094	149
88	1104	136
89	1115	123
90	1125	111
91	1135	98
92	1146	86
93	1158	73
94	1167	61
95	1177	49
96	1187	36
97	1197	24
98	1210	12
99	1221	0
