@relation water_quality_potability

@attribute ph numeric
@attribute Hardness numeric
@attribute Solids numeric
@attribute Chloramines numeric
@attribute Sulfate numeric
@attribute Conductivity numeric
@attribute Organic_carbon numeric
@attribute Trihalomethanes numeric
@attribute Turbidity numeric
@attribute Potability {0,1}

@data
7.160466,195.712338,22636.785632,7.235746,336.794067,424.396711,14.376178,68.105888,3.991681,1
7.187738,193.202237,21263.028076,7.117409,333.997161,430.163405,14.206928,64.807703,3.957064,0
5.400302,140.739062,17266.593422,10.056852,328.358241,472.874073,11.256381,56.931906,4.824786,0
7.078913,196.886558,21539.185679,7.104867,335.223406,429.400333,14.344261,65.289765,3.909317,0
7.052283,194.971523,21659.468727,7.10179,335.669903,425.620822,14.100794,66.178504,3.98934,0
7.163458,195.749676,22395.707761,7.261156,333.247213,423.481346,14.289909,67.941823,4.011314,1
6.884981,138.440111,14893.206396,9.686435,319.134991,286.921558,14.184036,54.559077,4.584319,1
7.03504,196.333923,21248.890578,7.116868,335.284278,428.529997,14.170944,65.94964,3.949511,0
7.041584,194.5452,22289.608326,7.348172,335.557359,427.579016,14.382701,67.454498,4.011393,1
9.51966,204.080945,17258.188355,6.154073,310.716294,395.698538,17.061389,44.273379,3.994556,0
7.197123,195.361971,21272.265853,7.223056,334.724579,428.524771,14.48184,67.552578,3.915592,0
7.176222,197.227226,22426.133387,7.088845,328.768011,424.379066,14.570338,65.24033,4.005229,1
7.145276,195.203908,21537.214527,7.156452,334.269883,431.541929,14.283642,66.662257,4.00677,0
7.140512,195.725432,21443.442001,7.120157,334.16556,420.832545,14.518828,66.348186,3.967507,0
7.011413,198.574005,21301.053585,6.924761,337.049735,430.199013,14.251315,64.948591,3.96193,0
7.061725,195.840977,22108.091318,7.239844,334.921182,427.98217,14.381934,67.431938,4.062888,1
3.7225,163.639747,37962.167991,6.68457,326.694018,467.562973,14.567269,50.577979,3.662838,0
7.07726,194.560566,22719.955324,7.033983,330.651473,421.680086,14.494379,66.16493,4.044718,1
7.122344,193.441429,21826.907906,7.316506,331.358706,422.672142,14.383747,67.274617,4.015222,1
7.017745,197.227468,22243.985061,7.195855,331.39244,425.666501,14.223142,67.490119,3.959081,1
7.094607,195.588117,22716.710447,7.291059,333.880035,434.435435,14.354455,66.912807,4.040534,1
7.173667,197.561859,21929.816624,6.972746,334.680013,424.050639,14.626719,64.91528,3.955084,0
7.174755,195.523806,21031.575867,7.14327,336.87465,427.490955,14.293662,66.971408,3.952954,0
7.106355,195.744701,22464.394678,7.182941,328.613171,428.989334,14.527465,68.019662,3.969755,1
6.97521,195.743155,21090.753191,7.134044,338.078562,431.072521,14.66433,66.241518,3.95293,0
7.022643,195.485352,22033.243839,7.157212,332.919858,422.556035,14.397201,66.124672,3.99363,1
6.599594,198.323261,21078.887166,6.234231,331.495637,447.987791,12.936304,59.833619,4.702311,0
6.980093,193.27281,22554.492354,7.148316,331.233164,414.359061,14.061875,66.063569,3.953239,1
7.16908,198.92939,22498.872664,7.326282,339.063667,423.840658,14.535922,67.470219,3.954111,1
7.155917,198.481156,22251.489938,7.049416,333.90666,423.329143,14.1922,66.801698,4.052282,1
4.739549,162.246886,27215.902742,2.862535,372.815075,437.21759,15.130476,65.091291,2.942348,1
7.262358,197.315637,21523.078259,7.227959,334.67744,427.937137,14.172944,65.955988,4.015152,0
7.118495,198.018594,20643.157202,7.05845,333.534048,424.654468,14.305108,66.524282,3.966168,0
6.999911,194.678746,21279.721658,7.0765,334.981669,428.890463,14.287882,67.186145,3.932673,0
7.154208,195.146714,22214.103198,7.10336,331.948735,424.1311,14.508508,67.999776,4.041503,1
7.099067,197.323049,21164.287624,7.090548,335.60761,421.33131,14.114869,65.994892,3.929656,0
6.937279,194.340963,21214.651426,7.257167,335.702509,430.938507,14.503482,67.424165,4.007351,0
5.613563,204.569366,16615.908152,5.618949,316.099824,341.523672,15.173956,73.450164,3.465089,0
7.028207,194.863701,21730.995808,7.179284,334.175629,432.957366,14.301104,67.343752,3.934284,0
7.07963,195.300606,22196.531677,7.195829,334.221085,427.413704,14.266355,66.333562,4.070195,1
6.993277,196.612945,21634.749628,7.006465,335.055935,430.145867,14.438123,65.796282,3.901763,0
0.989912,133.216942,16922.853899,9.293289,444.375731,322.291191,10.430076,43.578466,5.160604,1
7.098566,192.948968,21932.199579,7.04917,335.24057,427.011494,14.111062,66.650084,3.95413,1
7.150046,238.79823,14708.474185,8.606774,450.914454,365.739122,14.966532,53.144979,2.633891,1
7.240293,197.704284,22482.009741,7.316133,328.99299,428.03886,14.133179,65.20729,4.0431,1
5.628313,192.340744,22856.742901,7.764693,343.039509,439.054759,15.199906,50.229944,4.061645,1
7.146624,196.358537,22360.740053,7.027812,336.039432,438.224133,14.427357,66.955779,3.96101,0
7.132191,195.992787,21800.110922,7.037633,332.323229,435.302596,14.31537,64.296449,3.947216,0
7.130099,275.67978,9480.617796,8.415948,295.618838,383.455068,18.322879,94.416301,1.986192,0
7.055709,195.048183,22116.329645,7.097688,336.69544,422.549136,14.47854,66.995058,3.927065,0
7.014071,195.062534,21724.342144,7.1991,332.983049,432.830966,14.412829,66.42293,3.93101,0
7.138367,198.526241,22541.440316,7.043468,328.469525,424.539566,14.31913,65.918837,4.04254,1
7.067744,196.645145,21506.230638,6.988947,334.675976,425.883641,14.314748,65.800959,4.003636,0
7.120998,196.172556,22602.681896,7.078029,326.390498,427.405249,14.760691,67.725508,4.029338,1
6.980723,195.629904,22108.636532,7.047299,334.279403,426.723799,14.574025,67.02606,3.999719,0
7.024322,194.646059,22229.895986,7.219954,331.013988,429.863368,14.336057,67.118792,4.006326,1
7.084976,194.961082,21384.642376,7.064887,333.790347,424.593456,14.255396,65.440112,3.996004,0
7.047634,195.044505,21660.900584,7.118831,333.029022,421.437128,14.226387,67.321636,4.004565,1
6.959221,195.879814,22225.716727,7.128321,331.758666,429.395689,13.997844,66.610877,4.038997,0
7.087469,195.20163,21319.233441,7.100278,330.064296,426.118794,14.226437,65.369292,3.977501,0
8.107092,213.029273,24531.86944,6.237222,322.097056,517.490049,14.352031,59.860286,2.769164,0
7.126063,197.72834,21530.03963,7.311009,331.293614,420.59406,14.227697,67.919903,3.989736,1
7.264555,193.869059,21915.398221,7.305412,333.88867,421.511678,14.002531,67.61214,3.98927,1
4.091411,146.789938,24252.458824,7.254981,282.693502,482.294404,10.611556,70.069442,5.952325,0
6.069616,186.65904,26138.780191,7.747547,345.700257,415.886955,12.06762,60.419921,3.669712,1
7.146463,194.648108,22255.037793,7.221114,332.584758,428.09282,14.034091,66.637513,4.013365,1
7.06294,194.445286,21960.750377,6.919034,331.746579,433.623272,14.333715,67.119109,3.999593,0
7.003402,198.253017,23061.764645,7.166442,327.548922,429.869554,14.278258,65.933736,3.962196,1
7.025987,195.982759,22712.040401,7.055174,334.613743,433.92659,14.604251,68.018464,4.061313,1
7.00295,197.517618,21432.625133,7.029863,331.482762,420.90693,14.394908,65.959479,3.994046,0
7.167832,197.663283,22353.401643,7.066639,333.448857,433.695271,14.488757,66.879635,3.918994,0
10.50476,143.767498,31320.245588,7.728505,402.953533,491.216033,12.003832,75.641708,4.681366,0
7.099908,196.862391,21913.877472,6.920118,333.714038,428.513702,14.150949,66.159532,3.955961,0
7.081792,193.983112,21545.439026,7.146317,333.088097,427.69444,14.238883,66.137751,3.989301,0
6.994279,194.261978,22780.864888,7.103865,335.597915,426.044821,14.377794,64.472552,3.937926,0
7.078335,198.311275,21956.212991,7.220677,330.231182,427.663351,14.33265,66.908986,3.973922,1
2.974429,147.148675,17326.202253,2.498597,393.168745,375.41147,12.798187,76.413069,2.779902,1
7.225894,196.868324,22029.291925,7.103592,335.601761,417.634485,14.303647,66.939864,4.017926,1
7.135441,194.721351,22153.010122,7.083112,330.397935,423.213522,14.499094,66.567486,4.020718,1
6.86764,197.064519,21838.088596,7.184655,331.145925,419.121356,14.665861,65.999922,3.954822,0
7.151937,193.833318,22644.991427,7.103585,336.065795,410.808618,14.196034,67.0364,3.97674,1
8.174186,244.249046,31114.820836,4.726912,285.332026,418.6196,14.873626,56.464157,4.709403,1
7.01581,197.581705,20902.017152,7.015386,333.092432,430.873549,14.292692,66.124562,3.975522,0
