Metric,XGBoost,LightGBM,CatBoost
Correctly Classified Instances,4057.0,3997.0,4064.0
Incorrectly Classified Instances,7943.0,8003.0,7936.0
Kappa Statistic,0.0066,-0.0010,0.0070
Precision (Class: Blocked),0.3406,0.3346,0.3441
Recall (Class: Blocked),0.3833,0.3831,0.4245
F-Measure (Class: Blocked),0.3607,0.3572,0.3801
Precision (Class: Ignored),0.3326,0.3318,0.3270
Recall (Class: Ignored),0.3063,0.3043,0.3005
F-Measure (Class: Ignored),0.3189,0.3174,0.3132
Precision (Class: Logged),0.3404,0.3325,0.3432
Recall (Class: Logged),0.3236,0.3108,0.2890
F-Measure (Class: Logged),0.3318,0.3213,0.3138
