@relation weka_ready_dataset

@attribute Source_Port numeric
@attribute Destination_Port numeric
@attribute Protocol {ICMP,UDP,TCP}
@attribute Packet_Length numeric
@attribute Packet_Type {Data,Control}
@attribute Traffic_Type {HTTP,DNS,FTP}
@attribute Malware_Indicators {IoC_Detected,None}
@attribute Anomaly_Scores numeric
@attribute Alerts_Warnings {No_Alert,Alert_Triggered}
@attribute Attack_Type {Malware,DDoS,Intrusion}
@attribute Attack_Signature {Known_Pattern_B,Known_Pattern_A}
@attribute Severity_Level {Low,Medium,High}
@attribute Network_Segment {Segment_A,Segment_B,Segment_C}
@attribute Firewall_Logs {Log_Data,None}
@attribute IDS_IPS_Alerts {None,Alert_Data}
@attribute Log_Source {Server,Firewall}
@attribute Year numeric
@attribute Month numeric
@attribute Day numeric
@attribute Hour numeric
@attribute DayOfWeek numeric
@attribute Source_IP_Numeric numeric
@attribute Dest_IP_Numeric numeric
@attribute Proxy_IP_Numeric numeric
@attribute Action_Taken {Logged,Blocked,Ignored}

@data
31225,17616,ICMP,503,Data,HTTP,IoC_Detected,28.67,No_Alert,Malware,Known_Pattern_B,Low,Segment_A,Log_Data,None,Server,2023,5,30,6,1,1742212876,1409918204,2517197191,Logged
17245,48166,ICMP,1174,Data,HTTP,IoC_Detected,51.5,No_Alert,Malware,Known_Pattern_A,Low,Segment_B,Log_Data,None,Firewall,2020,8,26,7,2,1321720262,1119848858,0,Blocked
16811,53600,UDP,306,Control,HTTP,IoC_Detected,87.42,Alert_Triggered,DDoS,Known_Pattern_B,Low,Segment_C,Log_Data,Alert_Data,Firewall,2022,11,13,8,6,1062195760,3336262161,1921331379,Ignored
20018,32534,UDP,385,Data,HTTP,None,15.79,Alert_Triggered,Malware,Known_Pattern_B,Medium,Segment_B,None,Alert_Data,Firewall,2023,7,2,10,6,2737488906,1709490431,0,Blocked
6131,26646,TCP,1462,Data,DNS,None,0.52,Alert_Triggered,DDoS,Known_Pattern_B,Low,Segment_C,None,Alert_Data,Firewall,2023,7,16,13,6,1202108748,3186863854,2500226679,Blocked
17430,52805,UDP,1423,Data,HTTP,None,5.76,No_Alert,Malware,Known_Pattern_A,Medium,Segment_C,None,None,Server,2022,10,28,13,4,3328574880,2478742405,0,Logged
26562,17416,TCP,379,Data,DNS,None,31.55,No_Alert,DDoS,Known_Pattern_B,High,Segment_A,Log_Data,None,Server,2022,5,16,17,0,1643996987,1292920117,0,Ignored
34489,20396,ICMP,1022,Data,DNS,IoC_Detected,54.05,Alert_Triggered,Intrusion,Known_Pattern_A,High,Segment_A,Log_Data,Alert_Data,Firewall,2023,2,12,7,6,187720693,2996637300,3223297797,Logged
56296,20857,TCP,1281,Control,FTP,IoC_Detected,56.34,Alert_Triggered,Intrusion,Known_Pattern_A,High,Segment_B,Log_Data,Alert_Data,Server,2023,6,27,11,1,824234151,1221258505,0,Blocked
37918,50039,UDP,224,Data,HTTP,None,16.51,Alert_Triggered,Malware,Known_Pattern_B,Medium,Segment_A,None,None,Server,2021,8,15,22,6,1919784305,2690171564,1468069364,Blocked
35538,35006,ICMP,661,Data,HTTP,None,24.91,Alert_Triggered,Malware,Known_Pattern_B,Medium,Segment_B,None,None,Server,2022,7,20,13,2,2970964936,3302653097,497116151,Ignored
10903,36817,TCP,281,Control,HTTP,None,86.07,No_Alert,Malware,Known_Pattern_B,Low,Segment_B,None,None,Firewall,2022,6,26,15,6,1543772587,1881913624,0,Ignored
53471,38048,ICMP,64,Control,DNS,None,74.2,Alert_Triggered,Intrusion,Known_Pattern_A,Medium,Segment_B,Log_Data,Alert_Data,Server,2020,9,30,21,2,962318164,1650486822,0,Blocked
43729,10845,ICMP,1341,Data,HTTP,None,62.14,No_Alert,Malware,Known_Pattern_A,Low,Segment_C,None,None,Firewall,2021,1,13,2,2,1344017787,1875666794,998444872,Ignored
47795,35243,UDP,913,Data,DNS,None,72.65,Alert_Triggered,Malware,Known_Pattern_B,High,Segment_B,None,None,Firewall,2023,2,1,13,2,916685490,1047565782,2608421051,Logged
24912,21176,TCP,425,Data,DNS,None,91.56,Alert_Triggered,Intrusion,Known_Pattern_B,Medium,Segment_C,Log_Data,None,Firewall,2023,9,15,20,4,2191769852,213910128,0,Logged
39934,5259,TCP,838,Control,HTTP,None,43.83,Alert_Triggered,DDoS,Known_Pattern_B,High,Segment_B,Log_Data,None,Server,2023,4,18,16,1,83868581,2292169455,0,Ignored
16513,50583,TCP,969,Data,HTTP,None,40.46,No_Alert,DDoS,Known_Pattern_A,Low,Segment_B,Log_Data,Alert_Data,Firewall,2023,2,21,7,1,3567567913,538582833,352096546,Logged
4510,26783,TCP,124,Control,DNS,None,44.75,Alert_Triggered,DDoS,Known_Pattern_B,High,Segment_C,None,None,Firewall,2020,12,29,2,1,2003138679,796729908,0,Ignored
55147,17595,TCP,461,Data,HTTP,IoC_Detected,13.19,No_Alert,DDoS,Known_Pattern_B,High,Segment_B,Log_Data,Alert_Data,Server,2020,7,27,0,0,1756403278,1850784102,1791723619,Ignored
24907,37634,ICMP,845,Control,DNS,None,89.99,Alert_Triggered,Malware,Known_Pattern_B,Medium,Segment_A,Log_Data,None,Firewall,2021,7,16,20,4,1950219702,2858194010,1200054423,Blocked
37998,1757,UDP,410,Control,DNS,IoC_Detected,86.91,No_Alert,Malware,Known_Pattern_B,Low,Segment_C,Log_Data,Alert_Data,Server,2022,4,29,14,4,3606534698,3290069412,0,Blocked
3133,46077,UDP,1425,Data,DNS,None,72.25,No_Alert,DDoS,Known_Pattern_A,High,Segment_A,None,Alert_Data,Server,2023,2,24,6,4,956803947,1284642612,2837449943,Logged
40832,28015,UDP,118,Data,HTTP,IoC_Detected,96.27,No_Alert,Malware,Known_Pattern_A,Medium,Segment_A,None,None,Firewall,2023,9,15,15,4,787237966,1153596578,845971795,Logged
39911,27107,TCP,1386,Control,DNS,IoC_Detected,67.43,No_Alert,DDoS,Known_Pattern_A,Medium,Segment_C,Log_Data,None,Server,2023,10,6,6,4,1193877487,1774321199,0,Blocked
23021,31279,UDP,433,Control,DNS,None,89.86,Alert_Triggered,Intrusion,Known_Pattern_A,Low,Segment_C,Log_Data,Alert_Data,Firewall,2023,10,6,2,4,2150585880,160765710,0,Logged
32552,15521,UDP,531,Control,FTP,None,87.23,No_Alert,Malware,Known_Pattern_A,High,Segment_C,Log_Data,Alert_Data,Firewall,2021,1,31,3,6,3068720482,2580789207,3086098704,Blocked
56607,33023,TCP,282,Control,HTTP,IoC_Detected,44.4,Alert_Triggered,DDoS,Known_Pattern_A,Low,Segment_A,None,Alert_Data,Firewall,2020,8,28,9,4,3492577183,2040998055,3023318937,Logged
64351,43307,ICMP,1487,Control,HTTP,IoC_Detected,45.42,No_Alert,Intrusion,Known_Pattern_B,Low,Segment_C,Log_Data,Alert_Data,Firewall,2021,5,29,15,5,3314105848,1462885185,0,Blocked
